Question,Réponse
Comment appelle-t-on une bande de corbeaux ?,Un meurtre
Quel est le nom d’un duel à trois ?,Un truel
"Quel est l’animal le plus fort par rapport à son poids corporel : un bousier, un éléphant, une fourmi ou une vache ?",Bousiers
Qu’est-il interdit de manger avec une fourchette dans l’État de Géorgie ?,Poulet frit
Combien de points compte un jeu de dés ?,42
L’Islande a modifié les itinéraires de circulation pour éviter de perturber quelle communauté ?,Elfes
Quelle partie du corps est la seule à être complètement développée à la naissance ?,Yeux
Qui a inventé le mot « vomi » ?,William Shakespeare
Qu’est-ce que la peur de l’acrophobie ?,Voler
Qu’est-ce qui peut être brisé mais ne peut jamais être tenu ?,Une promesse
Quel est le pays qui compte le plus d’îles ?,Suède – 270 000
Combien de cœurs y a-t-il dans une pieuvre ?,3
Quelle est la planète la plus proche du soleil ?,Mercure
Quel est le muscle humain le plus fort ?,Mâchoire
Quel est le fabricant du téléphone 3310 ?,Nokia
Qu’est-ce qui tombe mais ne se relève jamais ?,Pluie
Quel est le pays où l’espérance de vie est la plus élevée ?,Hong Kong
En quelle année la Seconde Guerre mondiale a-t-elle pris fin ?,1945
Quelle est la planète la plus chaude de la Voie lactée ?,Vénus
Combien y a-t-il d’os dans le corps humain ?,206
Combien de pays font partie de l’Union européenne ?,27 pays européens
"Le Machu Picchu, l’une des sept nouvelles merveilles du monde, est situé dans quel pays d’Amérique du Sud ?",Pérou
Quelle chaîne de restauration rapide est célèbre pour son logo en forme d’arche d’or ?,McDonald’s
Combien d’étoiles y a-t-il sur le drapeau des États-Unis d’Amérique ?,50 étoiles
