Question,Réponse,URL
Où trouver des études sur le marché de l'emballage en France ?,"Vous pouvez trouver des informations relatives au marché de l'emballage en France sur le site de l'Insee. Vous y trouverez des études en lien avec la valorisation des déchets, des informations sur la plasturgie, le papier, le carton...",https://www.entreprises.gouv.fr/fr/faq?page=0
Où trouver des statistiques sur la création de startups en France ?,"La DGE n’est pas en mesure de répondre sur un niveau de détail aussi fin. Pour accéder à ce type d'information, nous vous invitons à vous adresser à l'INSEE.",https://www.entreprises.gouv.fr/fr/faq?page=0
Est-il possible de diffuser les études économiques de la DGE ?,"Vous pouvez tout à fait relayer les informations diffusées dans les études économiques de la DGE sur votre intranet.
Nous vous demandons, néanmoins, de faire des liens vers les pages où sont disponibles les documents sur le site internet de la DGE.",https://www.entreprises.gouv.fr/fr/faq?page=0
Où trouver les chiffres concernant la création de startups en France pour une période donnée ?,"Nous vous invitons à vous adresser à l'Institut national de la statistique et des études économiques  (INSEE), compétente dans le domaine : contacter l'INSEE.",https://www.entreprises.gouv.fr/fr/faq?page=0
"Je suis micro-entrepreneur, suis-je assujetti à la CFE (Cotisation Foncière des Entreprises) ?","Les micro-entrepreneurs, qu'ils possèdent un local ou non, doivent payer la cotisation foncière des entreprises (CFE) dans les mêmes conditions que tout  entrepreneur.
Vous n’êtes pas redevables de la CFE au titre de l’année de création de votre entreprise. Cependant, dès l'année suivante, vous y êtes assujettis.
Ainsi, vous êtes redevable de la CFE dans la commune où vous disposez de terrains ou de locaux. Cela concerne les biens dont vous êtes propriétaire, locataire ou les biens que vous utilisez à titre gratuit.
En l'absence de local, vous resterez redevable d'une cotisation minimum déterminée en fonction de votre chiffre d'affaires.
Depuis le 1er janvier 2019,  vous  êtes exonéré de CFE si votre  chiffre d'affaires annuel ne dépasse pas 5 000 €.
Le taux de la CFE est déterminé par le conseil communal ou par l'Etablissement public de coopération intercommunale (EPCI) du lieu où vous disposez des biens. Son montant dépend donc de ce taux. Vous pouvez vous rapprocher de la Mairie ou du Service des Impôts des entreprises pour en prendre connaissance.",https://www.entreprises.gouv.fr/fr/faq?page=0
Où envoyer la déclaration de la retenue à la source (formulaire n°2494 - CERFA n° 10325*19) ?,"Cette question ne relève pas de la compétence de la Direction générale des Entreprises (DGE). Nous vous invitons à prendre contact avec la Direction des Grandes Entreprises (DGE), placée sous l’autorité de la Direction Générale des Finances Publiques :http://www.economie.gouv.fr/dgfip",https://www.entreprises.gouv.fr/fr/faq?page=0
,"Les micro-entrepreneurs exerçant une activité artisanale doivent être immatriculés au registre national des entreprises (RNE) en tant qu’entreprise du secteur des métiers et de l’artisanat (ex-répertoire des métiers) depuis le 1er janvier 2023. C'est obligatoire, qu'il s'agisse d'une activité principale ou d'une activité secondaire. 
L’immatriculation est gratuite. De ce fait, le guichet unique, la Chambre de métiers et de l'artisanat (CMA) ou toute autre entité ne peut réclamer de l'argent pour cet acte lors de votre inscription.
En effet, le V de l’article L. 123-54 du Code de commerce prévoit que les micro-entrepreneurs sont dispensés du paiement des frais d’immatriculation.
Si vous avez déjà réglé une somme relative à l'immatriculation de votre micro-entreprise, vous pouvez en demander le remboursement auprès de la CMA. En cas de refus, vous pouvez nous écrire.",https://www.entreprises.gouv.fr/fr/faq?page=0
Où trouver des études sur le marché de l'emballage en France ?,"Vous pouvez trouver des informations relatives au marché de l'emballage en France sur le site de l'Insee. Vous y trouverez des études en lien avec la valorisation des déchets, des informations sur la plasturgie, le papier, le carton...",https://www.entreprises.gouv.fr/fr/faq?page=1
Où trouver des statistiques sur la création de startups en France ?,"La DGE n’est pas en mesure de répondre sur un niveau de détail aussi fin. Pour accéder à ce type d'information, nous vous invitons à vous adresser à l'INSEE.",https://www.entreprises.gouv.fr/fr/faq?page=1
Est-il possible de diffuser les études économiques de la DGE ?,"Vous pouvez tout à fait relayer les informations diffusées dans les études économiques de la DGE sur votre intranet.
Nous vous demandons, néanmoins, de faire des liens vers les pages où sont disponibles les documents sur le site internet de la DGE.",https://www.entreprises.gouv.fr/fr/faq?page=1
