Questions,Réponses
Quelle est l’évolution d’un quartier et ses futurs projets notamment en vue d’acquérir un bien immobilier?,"Depuis avril 2019, toutes vos démarches peuvent être faites en ligne. Une démarche innovante, la création d’un téléservice gratuit permet de faciliter le dépôt et le traitement des dossiers sous forme numérique*."
Les travaux en cours sont-ils autorisés? Un voisin a-t-il une autorisation pour les travaux qu’il effectue? Dénonciation ou plainte pour des travaux non autorisés,"Si vous ne disposez pas d’un accès numérique, il vous est possible d’envoyer votre dossier en recommandé: Direction de l’Urbanisme - Bureau Accueil et Service à l‘Usager (BASU) 6 promenade Claude-Lévi-Strauss - CS 51388 - 75639 PARIS CEDEX 13"
Nuisances sonores sur la voie publique?,"S'il n'existe pas de panneau affichant une autorisation d'urbanisme, c'est qu'il n'existe pas de projet de construction ou que ce projet n'a pas encore été autorisé."
Vous souhaitez signaler des travaux de transformation importants près de chez vous?,"Concernant les projets de la ville de Paris, les études pour éventuellement réaliser des équipements ou d’autres constructions sont présentées dans la rubrique «Projets urbains et architecturaux». Par contre, si rien n’est mentionné sur le site internet dans le quartier considéré, alors il n’existe pas d’étude approfondie de la ville de Paris."
Quels sont les droits des locataires ou des copropriétaires?,"En tout état de cause, les futurs projets, privés ou public, devront se conformer au Plan local d’urbanisme."
Qu'est-ce que l'usage et la destination d’un local?,"S’il existe unpanneau affichant le numéro du Permis de construire ou de la Déclarationpréalable, vous pouvez consulter le projet au Bureau Accueilet Service à l’Usager (BASU)."
Quand et comment faire un changement d’usage (anciennement “affectation”)?,"S'il n'existe pasun panneau affichant le numéro du Permis de construire ou de la Déclarationpréalable, les travaux sont réalisés peut-être sans autorisations (en supposantqu’ils nécessitent une autorisation) ou sans l’affichage de cette autorisation."
Comment obtenir un descriptif de la servitude d’alignement d’un terrain?,Vous pouvez lessignaler soit:
Quand et comment faut-il faire une déclaration d’intention d’aliéner (D.I.A.)?,"Il est nécessaire de mentionner lestravaux constatés avec l’adresse exacte de ceux-ci. Une enquête sera diligentéeet éventuellement, une procédure auprès du tribunal de Grande instance de Parissera ouverte"
Droit de préemption urbain simple ou renforcé (D.P.U.)? Préemption des fonds de commerce ou des baux?,"Retrouver tous les contacts en cas de problèmes de bruit, dans la page «Bruits et nuisances sonores»."
Comment demander une copie de l’arrêté d’un Permis de construire ou de la Déclaration d’achèvement des travaux ou du certificat de conformité ou un courrier d’absence de recours sur une autorisation?,"S'ils ne sont pas en ligne sur l’open data ou s’ils ne sont pas affichés sur le terrain, vous pouvez les signaler à l’administration via ce formulaire de contact."
Date de construction d’un immeuble? Comment consulter un permis de construire? Plans d’un immeuble,"Pour connaître les droits des copropriétaires ou des locataires, les problèmes liés au logement, les aspects juridiques ou financiers de la construction, les relations de voisinage contacter l'ADIL75 (Agence départementale d'information sur le logement de Paris), 46bis, boulevard Edgar Quinet, 75014 Paris, Téléphone:0142795050."
Obtenir un certificat de numérotage d’un immeuble,La destination d'un local:
Comment obtenir un arrêté de péril? Comment consulter ou se procurer la liste des arrêtés de péril en vigueur?,"Les destinations possibles d’un local sont énumérées par le Plan Local d'Urbanisme (PLU): habitation, hébergement hôtelier, bureaux, commerces, artisanat, industrie, entrepôts, Cinaspic (Constructions et installations nécessaires aux services publics ou d’intérêt collectif)."
Quand y a-t-il une interdiction d’habiter?,"Les définitions de ces différentes destinations sont données par les dispositions générales du PLU (règlement, tome 1)."
Comment connaître le Plan de prévention des risques d’inondation (P.P.R.I.) et le Plan de prévention des risques technologiques (P.P.R.N.T.)?,"Il y a ""changement de destination"" lorsqu'on passe d'une destination à une autre."
"Comment obtenir des renseignements sur les risques liés au plomb, à l'amiante, aux termites?","Pour ""changer"" la destination d'un local de manière définitive, même en l'absence de travaux, il faut déposer une demande d'urbanisme qui sera selon le cas une Déclaration préalable ou un Permis de construire."
