Question,Réponse
"Programmation pluriannuelle de l’énergie (PPE), stratégie nationale bas-carbone (SNBC) : de quoi s'agit-il ?","La loi de transition énergétique pour la croissance verte (LTECV) du 17 août 2015 a créé deux outils pour encadrer à moyen et long terme la politique de la France en matière d’énergie et de climat : la stratégie nationale bas-carbone (SNBC) qui définit la trajectoire de la France pour réduire ses émissions de gaz à effet de serre à l’horizon 2050. Elle donne des orientations pour mettre en œuvre la transition bas-carbone dans les grands secteurs d’activité (transport, logement, industrie, agriculture, énergie, déchets) et fixe des ""budgets carbone"", des plafonds d’émissions de gaz à effet de serre (GES) à ne pas dépasser par période de cinq ans.  Les PPE concernent la métropole continentale et les zones dites ""non interconnectées"" (ZNI), à savoir la Corse, la Réunion, la Guyane, la Martinique, la Guadeloupe, Wallis-et-Futuna et Saint-Pierre-et-Miquelon. La PPE de métropole continentale est élaborée par le gouvernement tandis que les PPE des ZNI sont co-élaborées avec les collectivités territoriales. Eclairage"
Pourquoi viser la neutralité carbone à l’horizon 2050 ?,"L’objectif de la neutralité carbone est de lutter contre le changement climatique. Il s'agit de trouver un équilibre entre les émissions de carbone liées aux activités humaines et la capacité des écosystèmes à absorber ce carbone par des puits naturels (forêts, sols agricoles...) ou par certains procédés industriels.  Avec la première Stratégie nationale bas-carbone, la France prévoyait de diviser par quatre ses émissions de gaz à effet de serre à l'horizon 2050 par rapport à 1990. L'action climatique française s’inscrit dans le cadre plus large de l’Union européenne, qui a adopté une feuille de route, le Pacte vert, pour atteindre la neutralité carbone en 2050 et la réduction de 55% de ses émissions de gaz à effet de serre d'ici à 2030. Eclairage"
Quels sont les objectifs de la stratégie sur l'énergie et le climat ?,"Dans le cadre de la consultation publique qui a été déjà organisée du 22 novembre au 22 décembre 2023 sur la stratégie française concernant l'énergie et le climat, le document publié par le ministère de la transition écologique rappelle les trois grands défis de la prochaine programmation pluriannuelle de l'énergie (PPE) pour la période 2024-2035 : réduire de 30% la consommation d’énergie en 2030 par rapport à 2012 et de 40% à 50% la consommation d'énergie en 2050 par rapport à 2021 ; sortir du charbon en 2027 (et des énergies fossiles en 2050) ; augmenter la production d’électricité bas-carbone de 10% en 2030 et de 55% en 2050 et doubler la production de chaleur bas-carbone d’ici 2035 par rapport à 2021. Cette troisième édition de la PPE n'envisage plus de fermeture de réacteurs nucléaires, contrairement à la précédente PPE. La nouvelle PPE prévoit une poursuite de l’exploitation des centrales nucléaires existantes au-delà de 50 ou 60 ans, dans l'objectif de produire 400 térawattheures (TWh) par an d'ici à 2030. Le gouvernement propose également de construire six nouveaux réacteurs (EPR2) avec une mise en service entre 2035 et 2042. Cette PPE accélère aussi le développement des énergies renouvelables, notamment en multipliant par deux le rythme de déploiement du photovoltaïque, du biogaz et des réseaux de chaleur d’ici 2030. La consommation finale énergétique de la France a diminué entre 2012 et 2019 d’environ 5%, puis plus rapidement depuis 2022. La PPE renouvelle la volonté gouvernementale d’accélérer le rythme global de réduction de consommation pour atteindre l’objectif du paquet législatif européen Fit for 55, décliné à travers une nouvelle directive relative à l’efficacité énergétique publiée le 20 septembre 2023. L’objectif est estimé pour la France à 1 209 TWh en 2030, ce qui correspond à une réduction de la consommation en énergie finale d’environ 30% par rapport à 2012. Parmi les autres objectifs, la PPE propose en particulier : l'accélération de la sortie des énergies fossiles par l’électrification des usages, conduisant à un niveau de production d’électricité décarbonée (révisé à la hausse) d'au moins 640 TWh en 2035, soit une augmentation de 22% par rapport à la production totale en 2021 ; le développement de la chaleur renouvelable (plus de 250 TWh en 2030, contre un objectif compris entre 219 et 247 TWh en 2028 dans la précédente PPE) et de récupération (20 TWh en 2030 contre un objectif compris entre 7,6 et 9,9 TWh dans les réseaux en 2028 dans la précédente PPE), correspondant à une multiplication par plus de deux du rythme de déploiement par rapport à aujourd’hui ; la mise en service de sept parcs éoliens en mer d'ici 2030. Consultation"
Quelles mesures contient la PPE pour accompagner la transition énergétique des ménages ?,"La nouvelle PPE vise à réduire la consommation d’énergies fossiles mais aussi à assurer une transition juste et durable. Parmi les mesures pour accompagner la transition énergétique des ménages, le document publié fin 2023 par le ministère de la transition écologique mentionne notamment que : en 2022, 5,8 millions de ménages étaient bénéficiaires du chèque énergie, pour un montant compris entre 48 et 277 euros. Plus de 82% l’ont utilisé. Les modalités d’évolution du chèque énergie après la suppression de la taxe d’habitation sont en cours d’étude ; le plan pour la rénovation énergétique des bâtiments. En 2022, 67% des projets financés par MaPrimeRénov’ (subvention à destination des particuliers pour financer les travaux de rénovation énergétique) concernent les ménages modestes et très modestes, sur un budget total de 3,1 milliards d'euros. Le gouvernement prévoit le renforcement du réseau de conseil France Rénov’ et le développement des ""accompagnateurs Rénov'"" ; deux réflexions sont à mener sur : la manière d'inciter les fournisseurs à une pratique d’approvisionnement prudente et de long terme, pour renforcer leur résilience à un choc de marché et contribuer au rapprochement des prix payés par les consommateurs avec les coûts de production. Questions-réponses"
Quels sont les objectifs de la dernière SNBC adoptée en 2020 ?,"Adoptée par décret en 2015, la Stratégie nationale bas-carbone définit les trois budgets carbone pour les périodes 2015-2018, 2019-2023 et 2024-2028.   La version révisée a été publiée en 2020. Cette version présente le quatrième budget carbone pour la période 2029-2033, mais revoit surtout à la hausse le deuxième budget 2019-2023 et le troisième budget 2024-2028. La SNBC actualisée pose les objectifs de réduction des émissions de gaz à effet de serre pour 2050 : transports : zéro émission (à l’exception du transport aérien domestique) ; bâtiment : zéro émission ; production d’énergie : zéro émission ; industrie : réduction de 81% des émissions de GES par rapport à 2015 ; La SNBC prévoit en outre l'augmentation des puits de carbone et fixe 45 orientations couvrant la gouvernance aux échelles nationale et territoriale, tous les secteurs d’activité et des sujets transversaux (empreinte carbone, investissements, aménagement du territoire, recherche et développement, éducation et formation). Consultation"
Qu’appelle-t-on bureau de vote ?,"Le bureau de vote désigne à la fois le local où s’effectuent les opérations électorales et l’autorité collégiale responsable du fonctionnement des opérations de vote, de dépouillement des bulletins et de décompte des voix."
Comment est constitué le bureau de vote ?,"Chaque bureau est composé :
d’un président, qui peut être le maire, l’un de ses adjoints, l’un des conseillers municipaux ou un électeur de la commune désigné par le maire. Le président assure la police à l’intérieur du bureau de vote. Pour éviter tout incident ou manœuvre violente tendant à perturber le scrutin, il dispose des autorités civiles et militaires, qui sont tenues d’exécuter ses ordres ;
au moins deux assesseurs, désignés par les différents candidats parmi les électeurs du département. Ils sont chargés notamment de faire signer les électeurs sur la liste d’émargement et d'estampiller la carte électorale ;
d’un secrétaire, choisi parmi les électeurs de la commune. Il rédige le procès-verbal.
Quels sont les différents intervenants dans un bureau de vote ?
Fiche thématique
17 mai 2019"
Le vote peut-il avoir lieu en l'absence d'assesseurs ?,"Si le jour du vote, le nombre d'assesseurs est inférieur à deux, des électeurs présents, sachant lire et écrire le français, sont désignés assesseurs selon l'ordre de priorité suivant : l'électeur le plus jeune, puis l'électeur le plus âgé (article R.44 du code électoral).
La fonction d'assesseur peut être confiée à des membres du conseil municipal dans l'ordre du tableau. La fonction d'assesseur est l'une des missions des conseilleurs municipaux. En conséquence, un conseiller municipal ne peut pas refuser, sauf excuse valable, d'être assesseur sous peine d'être démis d'office de ses fonctions par le tribunal administratif.
Devenir assesseur
Le recrutement d'assesseurs pouvant s’avérer difficile, la plateforme publique du bénévolat JeVeuxAider.gouv.fr se mobilise. 
Pour les élections européennes de juin 2024 :
les mairies peuvent publier des missions pour trouver des assesseurs ; 
les citoyens peuvent s'engager à devenir assesseur en candidatant aux missions publiées sur la plateforme."
Combien de bureaux de vote par commune ?,"Les bureaux de vote sont institués par un arrêté préfectoral. Cet arrêté peut diviser chaque commune en autant de bureaux de vote que l’exigent les circonstances locales et le nombre d’électeurs. En pratique, à chaque bureau de vote est affecté un périmètre géographique. Pour assurer le bon déroulement des opérations électorales, il est généralement admis qu’un bureau de vote n’excède pas 800 à 1 000 électeurs."
L’électeur peut-il choisir son bureau de vote ?,"Les électeurs n’ont pas le choix de leur bureau de vote. Le rattachement d’un électeur à un bureau de vote dépend de l’adresse au titre de laquelle il est inscrit sur la liste électorale. 
L’inscription sur les listes électorales est, en effet, faite soit au titre du domicile ou du lieu de résidence, soit au titre de l’inscription au rôle d’une des contributions directes communales. Il est également possible de s’inscrire dans une commune en tant que gérant d’une société figurant au rôle des contributions de la commune depuis au moins deux ans. Les jeunes de moins de 26 ans peuvent s’inscrire sur les listes électorales de la commune où résident ou sont domiciliés leurs parents. Les listes électorales sont établies par commune. Un arrêté du préfet de département définit dans chaque commune le périmètre géographique et l’adresse des bureaux de vote. En application de cet arrêté, la commune affecte ses électeurs dans les bureaux de vote en fonction de leur adresse de rattachement."
